News Article	 || 			polarity			 || 																																			"match"																												 || 																							"News Description/Content"

1				 || 			Negative			 || 			"nullLast, fall, Facebook, announced, a, preview, for, its, cloud, gaming, service, and, today, Facebook, is, updating, its, cloud, gaming, efforts, with, expanded, coverage, and, a, new, injection, of, content, from, Ubisoft, rnIni"			 || 			"Last fall, Facebook announced a preview for its cloud gaming service, and today, Facebook is updating its cloud gaming efforts with expanded coverage and a new injection of content from Ubisoft.rnIni "
2				 || 			Neutral			 || 			"nullEarlystage, startups, tend, to, claim, that, their, gotomarket, strategy, is, fully, operational, In, reality, GTM, is, a, stark, numbers, game, and, even, with, a, solid, plan, in, place, it, can, be, easily, foiled, by, comm"			 || 			"Earlystage startups tend to claim that their gotomarket strategy is fully operational. In reality, GTM is a stark numbers game, and even with a solid plan in place, it can be easily foiled by comm "
3				 || 			Neutral			 || 			"nullUber, Freight, the, logistics, business, spun, out, of, Uber, in, 2018, has, acquired, Transplace, for, about, 2, 25, billion, from, private, equity, group, TPG, Capital, according, to, regulatory, filings, The, deal, announc"			 || 			"Uber Freight, the logistics business spun out of Uber in 2018, has acquired Transplace for about 2.25 billion from private equity group TPG Capital, according to regulatory filings. The deal announc "
4				 || 			Neutral			 || 			"nullMore, posts, by, this, contributorrnHeres, another, edition, of, Dear, Sophie, the, advice, column, that, answers, immigrationrelated, questions, about, working, at, technology, companies, rnYour, questions, are, vital, to"			 || 			"More posts by this contributorrnHeres another edition of Dear Sophie, the advice column that answers immigrationrelated questions about working at technology companies.rnYour questions are vital to "
5				 || 			Negative			 || 			"nullThe, Dixie, Fire, is, raging, out, of, control, in, Northern, Californias, Plumas, and, Butte, counties, After, merging, with, a, smaller, blaze, known, as, the, Fly, Fire, over, the, weekend, its, flames, continued, to, spread, d"			 || 			"The Dixie Fire is raging out of control in Northern Californias Plumas and Butte counties. After merging with a smaller blaze known as the Fly Fire over the weekend, its flames continued to spread, d "
6				 || 			Neutral			 || 			"nullInternet, users, increasingly, want, a, more, anonymous, browsing, experience, which, has, a, major, impact, on, advertising, eCommerce, and, the, online, economy, as, a, whole, If, a, company, cant, track, you, with, thirdpa"			 || 			"Internet users increasingly want a more anonymous browsing experience, which has a major impact on advertising, eCommerce, and the online economy as a whole. If a company cant track you with thirdpa "
7				 || 			Negative			 || 			"nullBy, The, Visual, Journalism, Team, BBC, NewsrnA, blistering, heatwave, has, hit, Canada, and, parts, of, the, US, sending, temperatures, to, dangerous, highs, of, nearly, 50C, (122F), rnDozens, of, people, have, died, rnHeres, wh"			 || 			"By The Visual Journalism Team BBC NewsrnA blistering heatwave has hit Canada and parts of the US, sending temperatures to dangerous highs of nearly 50C (122F).rnDozens of people have died.rnHeres wh "
8				 || 			Neutral			 || 			"nullAhead, of, our, TechCrunch, City, Spotlight:, Pittsburgh, event, tomorrow, I, spoke, to, current, Mayor, Bill, Peduto, and, Dave, Mawhinney, the, executive, director, of, Carnegie, Mellon, Universitys, Swartz, Center, for, Ent"			 || 			"Ahead of our TechCrunch City Spotlight: Pittsburgh event tomorrow, I spoke to current Mayor Bill Peduto and Dave Mawhinney, the executive director of Carnegie Mellon Universitys Swartz Center for Ent "
9				 || 			Positive			 || 			"nullTo, get, a, roundup, of, TechCrunchs, biggest, and, most, important, stories, delivered, to, your, inbox, every, day, at, 3, p, m, PDT, subscribe, here, rnHello, and, welcome, to, Daily, Crunch, for, July, 15, 2021, Good, news, fro"			 || 			"To get a roundup of TechCrunchs biggest and most important stories delivered to your inbox every day at 3 p.m. PDT, subscribe here.rnHello and welcome to Daily Crunch for July 15, 2021. Good news fro "
10				 || 			Negative			 || 			"nullThe, idea, that, robots, will, one, day, become, selfaware, and, start, a, war, to, wipe, out, humanity, is, laughable, Theyre, instead, going, to, slowly, take, over, every, last, job, until, the, worlds, population, is, unemploye"			 || 			"The idea that robots will one day become selfaware and start a war to wipe out humanity is laughable. Theyre instead going to slowly take over every last job until the worlds population is unemploye "
11				 || 			Neutral			 || 			"nullThe, BBC, is, getting, widespread, criticism, for, creating, a, study, guide, for, teens, that, includes, arguments, about, how, climate, change, could, make, our, world, better, actually, rnOn, Thursday, climate, writer, Geor"			 || 			"The BBC is getting widespread criticism for creating a study guide for teens that includes arguments about how climate change could make our world better, actually. rnOn Thursday, climate writer Geor "
